RPTID	CAUSE	CAUSE_TXT	PIPE_COAT	PIPE_COAT_TXT	VIS_EXAM	VIS_EXAM_TXT	VIS_EXAMO	COR_CAUSE	COR_CAUSE_TXT	COR_CAUSEO	PROT	CPYR	PREV_DAM	PREV_DAM_YR	PREV_DAM_MO	PREV_DAM_UK	EARTH_MOVE	EARTH_MOVE_TXT	EARTH_MOVEO	FLOODS	FLOODS_TXT	FLOODSO	TEMPER	TEMPER_TXT	TEMPERO	THIRD_PARTY_GRP	THIRD_PARTY_GRP_TXT	THIRD_PARTY_TYPE	THIRD_PARTY_TYPE_TXT	THIRD_PARTY_TYPEO	EXCAV_TYPE	EXCAV_TYPE_TXT	EXCAV_ON	EXCAV_LAST_CONTACT	NOTIF	NOTIF_DATE	NOTIF_RCVD_TXT	MARKED	TEMP_MARK	TEMP_MARK_TXT	PERM_MARK	ACC_MARK	ACC_MARK_TXT	MKD_IN_TIME	FIRE_EXPLO	FIRE_EXPLO_TXT	PIPE_BODY	PIPE_BODY_TXT	PIPE_BODYO	COMPONENT	COMPONENT_TXT	COMPONENTO	JOINT	JOINT_TXT	JOINTO	BUTT	BUTT_TXT	BUTTO	FILLET	FILLET_TXT	FILLETO	PIPE_SEAM	PIPE_SEAM_TXT	PIPE_SEAMO	FAIL_TYPE	FAIL_TYPE_TXT	CONS_DEF	CONS_DEF_TXT	PIPE_DAMAGE	PRS_TEST	TEST_MO	TEST_DAY	TEST_YR	TEST_MED	TEST_MED_TXT	TEST_MEDO	TEST_TP	TEST_PRS	MALFUNC	MALFUNC_TXT	MALFUNCO	THREADS	THREADS_TXT	THREADSO	SEAL	SEAL_TXT	SEALO	IO_TYPE	IO_TYPE_TXT	IO_TYPEO	IO_DRUG	IO_ALCO	MISC	UNKNOWN	UNKNOWN_TXT
20080258																																																																																															
20080259	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			4	OTHER	PACKING AND BUSHING								
20080260	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	ABANDONED PIPE W/RESIDUAL MATERIAL	NO		NO																																																																																		
20080261																																																																																															
20080262																																																																																															
20080263																																																																																															
20080264	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1950	NO																																																																																		
20080265																																																																																															
20080266	24	MISCELLANEOUS																																																																																											PIGS STUCK IN VALVE WAS HOLDING OIL BEHIND THEM AFTER DRAIN UP TO REMOVE PIGS.		
20080267																																																																																															
20080268	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20080269																																																																																															
20080270	23	INCORRECT OPERATION																																																																																						2	INADEQUATE SAFETY PRACTICES						
20080271	19	PIPE SEAM WELD																																																												1	LF ERW		2	MATERIAL DEFECT			NO	YES	11	11	2005	1	WATER		8	2105																	
20080272	19	PIPE SEAM WELD																																																												5	HF ERW		2	MATERIAL DEFECT			NO	YES	11	24	1974	3	OTHER	CRUDE OIL	24	1037																	
20080273																																																																																															
20080274																																																																																															
20080275																																																																																															
20080276																																																																																															
20080277																																																																																															
20080278																																																																																															
20080280	5	HEAVY RAINS/FLOODS																		5	OTHER	OVERFLOW																																																																									
20080281	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	PUMP CERAMIC PLUNGER											
20080282																																																																																															
20080283	9	THIRD PARTY EXCAVATION DAMAGE																								2	GOVERNMENT	1	ROAD WORK		2	"SUB-STRATA (BORING, DIRECTIONAL DRILLING, ETC)"	NO		NO			NO																																																									
20080284	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	N/A	4	MICROBIOLOGICAL		YES	1990	NO																																																																																		
20080285																																																																																															
20080286																																																																																															
20080287																																																																																															
20080288																																																																																															
20080289																																																																																															
20080290																																																																																															
20080291																																																																																															
20080292	19	PIPE SEAM WELD																																																												1	LF ERW		1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	YES	10	12	2004	1	WATER		8	1514																	
20080293	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	INTERNAL CORROSION	YES	1995	NO																																																																																		
20080294	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	REDUCER FITTING											
20080295	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													7	POWER FAILURE															
20080296	2	"CORROSION, INTERNAL"	2	COATED	2	GENERAL CORROSION		4	MICROBIOLOGICAL		YES	2008	NO																																																																																		
20080297																																																																																															
20080298	23	INCORRECT OPERATION																																																																																						4	OTHER	"SHIP DISCHARGED BALLAST WATER, WITHOUT NOTIFYING O"					
20080299	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES						
20080300																																																																																															
20080301																																																																																															
20080302																																																																																															
20080303																																																																																															
20080304	3	EARTH MOVEMENT															4	OTHER	UNDERWATER MUDSLIDE DURING HURRICANE																																																																												
20080305	7	HIGH WINDS																																																																																													
20080306	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	6	PHONE/CABLE		1	OPEN TRENCH	NO		NO			NO																																																									
20080307	5	HEAVY RAINS/FLOODS																		5	OTHER	HURRICANE-DRIVEN RAINS/FLOODING																																																																									
20080308	15	COMPONENT																																																2	FITTING														2	MATERIAL DEFECT				YES			1996	1	WATER		8	2435																	
20080309																																																																																															
20080310	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20080311	7	HIGH WINDS																																																																																													
20080312																																																																																															
20080313	5	HEAVY RAINS/FLOODS																		1	WASHOUT																																																																										
20080314																																																																																															
20080315																																																																																															
20080316																																																																																															
20080318	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	12	OTHER	ENGINEERING TEST	2	"SUB-STRATA (BORING, DIRECTIONAL DRILLING, ETC)"	NO		NO			NO																																																									
20080319																																																																																															
20080320	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20080321																																																																																															
20080322																																																																																															
20080323																																																																																															
20080324	3	EARTH MOVEMENT															4	OTHER	MUDSLIDE BELOW SURFACE OF WATER																																																																												
20080325																																																																																															
20080326																																																																																															
20080327																																																																																															
20080328																																																																																															
20080329	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	2	PIPELINE		1	OPEN TRENCH	YES	2008	YES	1/1/2000	ONE-CALL SYSTEM	YES	1	FLAGS																																																							
20080330																																																																																															
20080331	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	5	SEWER		1	OPEN TRENCH	NO		YES	3/1/2000	CONTRACTOR	YES	1	FLAGS	YES	1	ACCURATE	YES																																																			
20080332	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		3	STRAY CURRENT		YES	1980	NO																																																																																		
20080333	7	HIGH WINDS																																																																																													
20080334	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	7	LANDOWNER - NOT FARMING RELATED		1	OPEN TRENCH	NO		NO			NO																																																									
20080335																																																																																															
20080336																																																																																															
20080337	3	EARTH MOVEMENT															4	OTHER	SUBSEA MUD SLIDE																																																																												
20080338	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20080339																																																																																															
20080340	16	JOINT																																																			1	GASKET											2	MATERIAL DEFECT			NO	NO																									
20080341																																																																																															
20080343																																																																																															
20080344																																																																																															
20080345																																																																																															
20080346	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20080347	25	UNKNOWN																																																																																												2	STILL UNDER INVESTIGATION
20080348																																																																																															
20080349	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	SEE PART I BELOW	8	OTHER	SEE PART I BELOW	NO		YES	0	3																																																																																
20080350																																																																																															
20080351	23	INCORRECT OPERATION																																																																																						1	INADEQUATE PROCEDURES		0	0			
20080352	23	INCORRECT OPERATION																																																																																						1	INADEQUATE PROCEDURES		0	0			
20080353	7	HIGH WINDS																																																																																													
20080354																																																																																															
20080355																																																																																															
20080356																																																																																															
20080357																																																																																															
20080358	11	"CAR, TRUCK OR OTHER VEHICLE NOT RELATED TO EXCAVATION ACTIVITY"																																																																																													
20080359	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20080360																																																																																															
20080361																																																																																															
20080362	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	FATIGUED BOLTS											
20080363																																																																																															
20080364																																																																																															
20080365																																																																																															
20080366	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1953	NO																																																																																		
20080367	19	PIPE SEAM WELD																																																												2	DSAW		2	MATERIAL DEFECT			NO	YES	10	26	2005	1	WATER		9	1186																	
20080368																																																																																															
20080369	14	BODY OF PIPE																																													1	DENT																	1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	YES	1	8	1987	1	WATER		8	1228																	
20080370	2	"CORROSION, INTERNAL"	1	BARE	1	LOCALIZED PITTING		8	OTHER	INTERNAL	YES	1976	NO																																																																																		
20080371	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																1	NIPPLES												
20080372																																																																																															
20080373	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			1	GASKET									
20080374																																																																																															
20080375	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	LIMITED VISIBILITY PRIOR TO APPLYING TEMPORARY SLE	8	OTHER	MIC UNTIL TEMPORARY SLEEVE REMOVED AND ANALYSIS 	YES	1998	NO																																																																																		
20080376	23	INCORRECT OPERATION																																																																																						1	INADEQUATE PROCEDURES						
20080377	2	"CORROSION, INTERNAL"	1	BARE	3	OTHER	INTERNAL CORROSION	8	OTHER	UNKNOWN	YES	1942	NO																																																																																		
20080378	2	"CORROSION, INTERNAL"	1	BARE	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1968	NO																																																																																		
20080379																																																																																															
20080380	24	MISCELLANEOUS																																																																																											"A 2"" THREADED PLUG ON A PLIDCO REPAIR CLAMP WAS FOUND TO BE SEEPING OIL. "		
20080381	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1994	NO																																																																																		
20080382	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	5	SEWER		1	OPEN TRENCH	NO		YES	1/1/2000	ONE-CALL SYSTEM	YES	1	FLAGS		1	ACCURATE	YES																																																			
20090001	2	"CORROSION, INTERNAL"	2	COATED	2	GENERAL CORROSION		8	OTHER	PIN HOLE	YES	1970	NO																																																																																		
20090002	11	"CAR, TRUCK OR OTHER VEHICLE NOT RELATED TO EXCAVATION ACTIVITY"																																																																																													
20090003	23	INCORRECT OPERATION																																																																																						1	INADEQUATE PROCEDURES		0	0			
20090004																																																																																															
20090005	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1980	NO																																																																																		
20090006																																																																																															
20090007																																																																																															
20090008	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20090009																																																																																															
20090010																																																																																															
20090011																																																																																															
20090012	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	2	PIPELINE		1	OPEN TRENCH	NO		YES	12/5/2008	ONE-CALL SYSTEM	NO																																																									
20090013	14	BODY OF PIPE																																													5	OTHER	CRACK - LAMINATION																2	MATERIAL DEFECT			NO	YES	6	29	1971	1	WATER			1305																	
20090014	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1980	NO																																																																																		
20090015																																																																																															
20090016																																																																																															
20090017	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1962	NO																																																																																		
20090018	4	LIGHTNING																																																																																													
20090019																																																																																															
20090020	17	BUTT WELD																																																						1	PIPE								1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	YES	8	2	1967	1	WATER		24	1645																	
20090022	24	MISCELLANEOUS																																																																					10	15	2006																				"THE LEAK WAS CAUSED BY A WELD CONDITION KNOWN AS ¿PENETRATOR¿. PENETRATORS TYPICALLY ARE VERY NARROW AND BECAUSE OF REINFORCEMENT FROM SURROUNDING SOUND METAL, MAY WITHSTAND RELATIVELY HIGH PRESSURE WITHOUT LEAKING. OVER TIME, HOWEVER, THE SLAG BECOMES DISLODGED AND THE WELD LEAKS. ONCE A LEAK DEVELOPS, IT TENDS TO ENLARGE WITH TIME. BECAUSE THEY ARE RELATIVELY SMALL, PENETRATORS THAT BECOME ENLARGED IN SERVICE NORMALLY CAUSE LEAKS RATHER THAN RUPTURES.    THE SURFACE ANOMALIES WERE SHALLOW SLIVERS, WHICH ARE SMALL PIECES OF METAL ROLLED INTO THE SURFACE BUT ATTACHED ONLY ONE END. SLIVERS ARE CAUSED BY INADEQUATE CONDITIONING OF SEMI-FINISHED PRODUCTS THAT ARE NOT OPEN TO THE SURFACE BECOME FUSED DURING HOT ROLLING."		
20090023																																																																																															
20090024	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20090025																																																																																															
20090026																																																																																															
20090027	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20090028	14	BODY OF PIPE																																													5	OTHER	SEPARATION OF PIPE																2	MATERIAL DEFECT			NO	NO																									
20090029																																																																																															
20090030																																																																																															
20090031	23	INCORRECT OPERATION																																																																																						4	OTHER	MANIFOLD PIPING DESIGN FLAW	0	0			
20090032	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1980	NO																																																																																		
20090033																																																																																															
20090034	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	12	OTHER	ROAD FOR APARTMENT DEVELOPMENT	1	OPEN TRENCH	YES		NO			YES	1	FLAGS	YES	1	ACCURATE	YES																																																			
20090035																																																																																															
20090036																																																																																															
20090037	19	PIPE SEAM WELD																																																												1	LF ERW		2	MATERIAL DEFECT			NO	YES	5	26	1968	1	WATER		24	1417																	
20090038	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			1	GASKET									
20090039	15	COMPONENT																																																2	FITTING														2	MATERIAL DEFECT			NO	NO																									
20090040	2	"CORROSION, INTERNAL"	1	BARE	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1970	NO																																																																																		
20090042	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																1	NIPPLES												
20090043																																																																																															
20090044	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																1	NIPPLES												
20090045	1	"CORROSION, EXTERNAL"	2	COATED	2	GENERAL CORROSION		8	OTHER	ACIDIC SOIL	YES	1989	NO																																																																																		
20090046	1	"CORROSION, EXTERNAL"	2	COATED	2	GENERAL CORROSION		8	OTHER	DISBONDED COATING	YES	1955	NO																																																																																		
20090047	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1989	NO																																																																																		
20090048	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	1	ROAD WORK		1	OPEN TRENCH	YES		NO			NO																																																									
20090049																																																																																															
20090050																																																																																															
20090051	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20090052																																																																																															
20090053	14	BODY OF PIPE																																													2	GOUGE																	2	MATERIAL DEFECT			NO	YES	10	16	1975	1	WATER		24	1375																	
20090054																																																																																															
20090055																																																																																															
20090056	10	FIRE/EXPLOSION AS PRIMARY CAUSE																																											1	MAN-MADE																																																	
20090057	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	SAMPLE PROBE											
20090058	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20090059	6	TEMPERATURE																					2	FROSTHEAVE																																																																							
20090060																																																																																															
20090061																																																																																															
20090062	15	COMPONENT																																																5	OTHER	MAGNETIC DRIVE CANISTER													2	MATERIAL DEFECT			NO	NO																									
20090063	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1968	NO																																																																																		
20090064																																																																																															
20090065																																																																																															
20090066	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		3	STRAY CURRENT		YES	1950	NO																																																																																		
20090068																																																																																															
20090069	6	TEMPERATURE																					2	FROSTHEAVE																																																																							
20090070																																																																																															
20090071	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20090072																																																																																															
20090073																																																																																															
20090074																																																																																															
20090075	6	TEMPERATURE																					3	FROZEN COMPONENTS																																																																							
20090076	14	BODY OF PIPE																																													5	OTHER	CRACK																1	CONSTRUCTION DEFECT	3	POOR CONSTRUCTION PROCEDURES	NO	NO																									
20090077	15	COMPONENT																																																2	FITTING														2	MATERIAL DEFECT			NO	NO																									
20090078																																																																																															
20090079	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1953	NO																																																																																		
20090080	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1965	NO																																																																																		
20090081																																																																																															
20090082																																																																																															
20090083	23	INCORRECT OPERATION																																																																																						2	INADEQUATE SAFETY PRACTICES		0	0			
20090084																																																																																															
20090085	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			1	GASKET									
20090086	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			1	GASKET									
20090087	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES						
20090089																																																																																															
20090090																																																																																															
20090091																																																																																															
20090092																																																																																															
20090093	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	UNKNOWN	YES	1985	NO																																																																																		
20090094	19	PIPE SEAM WELD																																																												1	LF ERW		2	MATERIAL DEFECT			NO	YES	8	10	2003	1	WATER		8	1642																	
20090095																																																																																															
20090096																																																																																															
20090097	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20090098																																																																																															
20090099	2	"CORROSION, INTERNAL"	1	BARE	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1950	NO																																																												1968																						
20090100																																																																																															
20090101	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	BROKEN SS TUBING											
20090102	6	TEMPERATURE																					1	THERMAL STRESS																																																																							
20090103																																																																																															
20090104	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20090105	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20090106	18	FILLET WELD																																																									5	OTHER	PLATE WELD				2	MATERIAL DEFECT			NO	NO																									
20090107																																																																																															
20090108																																																																																															
20090109																																																																																															
20090110	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20090111																																																																																															
20090112																																																																																															
20090113																																																																																															
20090114																																																																																															
20090115																																																																																															
20090116	1	"CORROSION, EXTERNAL"	2	COATED	3	OTHER	LINEAR CORROSION	8	OTHER	IMPROPER RECOAT FOLLOWING 1986 REPAIR.	YES	1974	YES	35	0																																																																																
20090117	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			1	GASKET									
20090118	6	TEMPERATURE																					3	FROZEN COMPONENTS																																																																							
20090119																																																																																															
20090120																																																																																															
20090121	17	BUTT WELD																																																						3	OTHER	POTENTIAL LOAD STRESS CRACK							1	CONSTRUCTION DEFECT	3	POOR CONSTRUCTION PROCEDURES	NO	NO																									
20090122																																																																																															
20090123																																																																																															
20090124																																																																																															
20090125	5	HEAVY RAINS/FLOODS																		5	OTHER	HEAVY DOWN POUR																																																																									
20090126	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	PITTING	8	OTHER	UNKNOWN	YES	2005	NO																																																																																		
20090127	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	4	ELECTRIC		1	OPEN TRENCH	NO		NO			NO																																																									
20090128	24	MISCELLANEOUS																																																																																											FATIGUE RESULTING FROM THERMAL EXPANSION.		
20090129	25	UNKNOWN																																																																																												1	INVESTIGATION COMPLETE
20090130	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20090131																																																																																															
20090132	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20090133																																																																																															
20090134	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20090135																																																																																															
20090136																																																																																															
20090137																																																																																															
20090138	4	LIGHTNING																																																																																													
20090139																																																																																															
20090140																																																																																															
20090141	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20090142																																																																																															
20090143	16	JOINT																																																			4	OTHER	3/8-INCH TUBING FLARED FITTING										1	CONSTRUCTION DEFECT	3	POOR CONSTRUCTION PROCEDURES	NO	NO																									
20090144																																																																																															
20090145	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20090146	24	MISCELLANEOUS																																																																																											PROVER HYDRAULIC RAM SHAFT TO PLUNGER ASSEMBLY FATIGUE FAILURE		
20090147	1	"CORROSION, EXTERNAL"	1	BARE	1	LOCALIZED PITTING		1	GALVANIC		YES	1970	NO																																																																																		
20090148	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20090149																																																																																															
20090150	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20090151																																																																																															
20090152	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			4	OTHER	RELEASE OF PROBE FROM HOLDER								
20090153																																																																																															
20090154	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1953	NO																																																																																		
20090155																																																																																															
20090156																																																																																															
20090157	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20090158	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20090159																																																																																															
20090160	7	HIGH WINDS																																																																																													
20090161	12	RUPTURE OF PREVIOUSLY DAMAGED PIPE																																																																																													
20090162																																																																																															
20090163	3	EARTH MOVEMENT															3	LANDSLIDE																																																					7	15	1991																						
20090164	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES						
20090165	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	BLEEDER VALVE ON BLOCK VALVE											
20090166																																																																																															
20090167																																																																																															
20090168	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													1	CONTROL VALVE															
20090169																																																																																															
20090170	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20090171																																																																																															
20090172																																																																																															
20090173	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20090174	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			1	GASKET									
20090175	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	2	PIPELINE		1	OPEN TRENCH	YES		YES	1/1/2000	ONE-CALL SYSTEM	YES	1	FLAGS		1	ACCURATE	YES																																																			
20090176																																																																																															
20090177	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	SEAL FLUSH TUBING											
20090178																																																																																															
20090179																																																																																															
20090180	11	"CAR, TRUCK OR OTHER VEHICLE NOT RELATED TO EXCAVATION ACTIVITY"																																																																																													
20090181	23	INCORRECT OPERATION																																																																																						1	INADEQUATE PROCEDURES		0	0			
20090182	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20090184	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													1	CONTROL VALVE															
20090185																																																																																															
20090186	15	COMPONENT																																																2	FITTING														1	CONSTRUCTION DEFECT	2	PROCEDURE NOT FOLLOWED	NO	YES	1	16	2009	1	WATER		4	1475																	
20090187	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20090188	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1953	NO																																																																																		
20090189																																																																																															
20090190	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	7	LANDOWNER - NOT FARMING RELATED		1	OPEN TRENCH	NO		NO			NO																																																									
20090191	18	FILLET WELD																																																									4	REPAIR SLEEVE					1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	YES	6	8	1975	1	WATER		8	875																	
20090193	16	JOINT																																																			3	THREADS											1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	NO																									
20090194	24	MISCELLANEOUS																																																																																											  MECHANICAL FAILURE OF AIR ELIMINATOR CAUSED THE SUMP TO OVERFLOW.  		
20090195																																																																																															
20090196	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES						
20090197																																																																																															
20090198	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													8	OTHER	GASKET														
20090199	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20090200																																																																																															
20090201																																																																																															
20090202																																																																																															
20090203																																																																																															
20090204	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	LOCAL COATING FAILURE	YES	2009	NO																																																																																		
20090205																																																																																															
20090206																																																																																															
20090207																																																																																															
20090208	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	COUPLING (DRESSER SLEEVE)	8	OTHER	UNKNOWN	YES	1980	NO																																																																																		
